epoch 117 pred_counts: {4: 134, 6: 231, 5: 178, 8: 247, 7: 208, 9: 199, 0: 148, 1: 258, 3: 152, 10: 151, 2: 152, 13: 246, 12: 154, 11: 239} conf_thresh=0.05
epoch 118 pred_counts: {4: 133, 6: 232, 5: 179, 8: 247, 7: 206, 9: 199, 0: 148, 1: 258, 3: 152, 10: 151, 2: 152, 13: 246, 12: 154, 11: 238} conf_thresh=0.05
epoch 119 pred_counts: {4: 133, 6: 230, 5: 179, 8: 249, 7: 209, 9: 201, 0: 150, 1: 258, 3: 151, 10: 151, 2: 152, 13: 246, 12: 155, 11: 235} conf_thresh=0.05
epoch 120 pred_counts: {4: 133, 6: 228, 8: 255, 7: 210, 9: 201, 0: 150, 1: 258, 3: 149, 5: 178, 10: 151, 2: 151, 13: 246, 12: 154, 11: 233} conf_thresh=0.05
epoch 121 pred_counts: {4: 133, 6: 224, 8: 255, 7: 210, 0: 149, 1: 257, 9: 200, 3: 146, 5: 176, 10: 153, 2: 151, 13: 246, 12: 154, 11: 232} conf_thresh=0.05
epoch 122 pred_counts: {4: 133, 6: 222, 8: 255, 7: 212, 0: 150, 1: 256, 9: 199, 3: 147, 5: 175, 10: 153, 2: 151, 13: 246, 12: 152, 11: 232} conf_thresh=0.05
epoch 123 pred_counts: {4: 133, 6: 218, 8: 255, 7: 211, 0: 150, 1: 257, 9: 197, 3: 147, 5: 174, 10: 153, 2: 151, 13: 247, 12: 153, 11: 229} conf_thresh=0.05
epoch 124 pred_counts: {4: 133, 6: 217, 8: 255, 7: 209, 0: 148, 1: 259, 9: 197, 3: 147, 5: 173, 10: 153, 2: 151, 13: 247, 12: 157, 11: 227} conf_thresh=0.05
epoch 125 pred_counts: {4: 133, 6: 218, 8: 254, 7: 210, 0: 149, 1: 258, 9: 197, 3: 148, 5: 175, 10: 151, 2: 151, 13: 248, 12: 157, 11: 225} conf_thresh=0.05
epoch 126 pred_counts: {4: 133, 6: 217, 8: 252, 7: 209, 0: 151, 1: 258, 9: 201, 3: 147, 5: 175, 10: 151, 2: 151, 13: 248, 12: 157, 11: 225} conf_thresh=0.05
epoch 127 pred_counts: {4: 132, 6: 217, 8: 253, 7: 209, 0: 150, 1: 257, 9: 200, 3: 147, 5: 173, 10: 154, 2: 151, 13: 248, 12: 156, 11: 223} conf_thresh=0.05
epoch 128 pred_counts: {4: 132, 6: 214, 7: 209, 8: 253, 0: 150, 1: 257, 9: 203, 3: 147, 5: 172, 10: 156, 2: 151, 13: 248, 12: 156, 11: 222} conf_thresh=0.05
epoch 129 pred_counts: {4: 133, 6: 212, 7: 209, 8: 254, 0: 150, 1: 257, 9: 204, 3: 147, 5: 173, 10: 156, 2: 151, 13: 251, 12: 156, 11: 223} conf_thresh=0.05
