epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
92,5271.89,0.16659,0.18151,0.88281,0.99973,1,0.995,0.995,0.05559,0.05393,0.79216,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,5328.46,0.16435,0.17767,0.88458,0.99976,1,0.995,0.995,0.05652,0.0566,0.79217,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,5382.76,0.16428,0.17592,0.88271,0.99965,1,0.995,0.99499,0.05727,0.05932,0.79207,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,5439.55,0.16251,0.17788,0.88245,0.99961,1,0.995,0.995,0.05585,0.05514,0.79179,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,5496.22,0.16246,0.17623,0.88246,0.99962,1,0.995,0.99499,0.05566,0.06154,0.79172,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,5546.85,0.16418,0.17679,0.8801,0.9997,1,0.995,0.995,0.05762,0.05891,0.79189,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,5603.55,0.16176,0.1746,0.88162,0.9992,1,0.995,0.995,0.05537,0.05984,0.79192,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,5659.99,0.16126,0.17405,0.8808,0.99841,1,0.995,0.99499,0.05615,0.05526,0.79195,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,5706.7,0.16105,0.17184,0.88273,0.99967,1,0.995,0.99499,0.05696,0.05573,0.79212,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,5752.76,0.16045,0.17643,0.88158,0.99968,1,0.995,0.99499,0.0555,0.05739,0.7921,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
